# GridID imx_min imx_max imy_min imy_max theta_center
01 -1.25 -0.75  -0.875 -0.525 50.694
02 -0.75 -0.25  -0.875 -0.525 40.675
03 -0.25  0.25  -0.875 -0.525 35.017749
04  0.25  0.75  -0.875 -0.525 40.675039
05  0.75  1.25  -0.875 -0.525 50.662786
07 -1.75 -1.25  -0.525 -0.175 56.990242
08 -1.25 -0.75  -0.525 -0.175 46.628525
09 -0.75 -0.25  -0.525 -0.175 31.393231
10 -0.25  0.25  -0.525 -0.175 19.267549
11  0.25  0.75  -0.525 -0.175 31.393231
12  0.75  1.25  -0.525 -0.175 46.628525
13  1.25  1.75  -0.525 -0.175 56.990242
14 -1.75 -1.25  -0.175  0.175 56.291844
15 -1.25 -0.75  -0.175  0.175 44.994283
16 -0.75 -0.25  -0.175  0.175 26.557574
17 -0.25  0.25  -0.175  0.175 0.075701
18  0.25  0.75  -0.175  0.175 26.557574
19  0.75  1.25  -0.175  0.175 44.994283
20  1.25  1.75  -0.175  0.175 56.291844
21 -1.75 -1.25   0.175  0.525 56.990242
22 -1.25 -0.75   0.175  0.525 46.628525
23 -0.75 -0.25   0.175  0.525 31.393231
24 -0.25  0.25   0.175  0.525 19.267549
25  0.25  0.75   0.175  0.525 31.393231
26  0.75  1.25   0.175  0.525 46.628525
27  1.25  1.75   0.175  0.525 56.990242
29 -1.25 -0.75   0.525  0.875 50.662786
30 -0.75 -0.25   0.525  0.875 40.675039
31 -0.25  0.25   0.525  0.875 35.017749
32  0.25  0.75   0.525  0.875 40.675039
33  0.75  1.25   0.525  0.875 50.662786
