# GridID imx imy theta 
01 -1.00 -0.70 50.694
02 -0.50 -0.70 40.675
03  0.00 -0.70 35.017749
04  0.50 -0.70 40.675039
05  1.00 -0.70 50.662786
07 -1.50 -0.35 56.990242
08 -1.00 -0.35 46.628525
09 -0.50 -0.35 31.393231
10  0.00 -0.35 19.267549
11  0.50 -0.35 31.393231
12  1.00 -0.35 46.628525
13  1.50 -0.35 56.990242
14 -1.50  0.00 56.291844
15 -1.00  0.00 44.994283
16 -0.50  0.00 26.557574
17  0.00  0.00 0.075701
18  0.50  0.00 26.557574
19  1.00  0.00 44.994283
20  1.50  0.00 56.291844
21 -1.50  0.35 56.990242
22 -1.00  0.35 46.628525
23 -0.50  0.35 31.393231
24  0.00  0.35 19.267549
25  0.50  0.35 31.393231
26  1.00  0.35 46.628525
27  1.50  0.35 56.990242
29 -1.00  0.70 50.662786
30 -0.50  0.70 40.675039
31  0.00  0.70 35.017749
32  0.50  0.70 40.675039
33  1.00  0.70 50.662786
